"","id","lifeStage","billW"
"312","M4 HAFR95","nestling",8.2
"313","M4 WSAP95","nestling",8.2
"314","O5 STAT98","nestling",8.2
"315","P4 WHIT98","nestling",8.2
"316","QN FOHO96","nestling",8.2
"317","red BROT91","nestling",8.2
"318","XE SCEM97","nestling",8.2
"319","XY BABL11","nestling",8.2
"320","1 WILG09","nestling",8.3
"321","1 WILG09","nestling",8.3
"322","2 FOWA08","nestling",8.3
"323","5M STAD97","nestling",8.3
"324","C3 STAD98","nestling",8.3
"325","CV KEST08","nestling",8.3
"326","green STRM91","nestling",8.3
"327","IC GENR94","nestling",8.3
"328","P1 GYMN95","nestling",8.3
"329","ZC CLOV97","nestling",8.3
"330","1azurze WWLG00","nestling",8.4
"331","2 FOWA09","nestling",8.4
"332","2r CRST01","nestling",8.4
"333","3r JSUP99","nestling",8.4
"334","5 GENR91","nestling",8.4
"335","A2 GYMN95","nestling",8.4
"336","BZ FOWA09","nestling",8.4
"337","FFWS DRIN02","nestling",8.4
"338","PR WSAP95","nestling",8.4
"339","three DWIT10","nestling",8.4
"340","U8 HAW200","nestling",8.4
"341","4 WKAY02","nestling",8.5
"342","7D WCEM01","nestling",8.5
"343","G LANG92","nestling",8.5
"344","KA ALOT94","nestling",8.5
"345","L5 CPOS93","nestling",8.5
"346","U5 EPLN99","nestling",8.5
"347","W0 HAW200","nestling",8.5
"348","WC COUR08","nestling",8.5
"349","1b MART01","nestling",8.6
"350","2w BYWY01","nestling",8.6
"351","4O ELLI97","nestling",8.6
"352","EN WILO92","nestling",8.6
"353","green BROT91","nestling",8.6
"354","NT PINW95","nestling",8.6
"355","QL CEME97","nestling",8.6
"356","1 FOWA08","nestling",8.7
"357","3 CATH08","nestling",8.7
"358","3 SLOP08","nestling",8.7
"359","3 WILG09","nestling",8.7
"360","3 WILG09","nestling",8.7
"361","4 KAYS90","nestling",8.7
"362","4 WILG09","nestling",8.7
"363","4 WILG09","nestling",8.7
"364","AH LIBE95","nestling",8.7
"365","EB SAHA95","nestling",8.7
