Month,ID,CalcAge,HatchDateJulYear,AllSex,BillDepth,BillWidth,BillNT,TEC,UB,UBS,TBS,Skull,Tarsus,Weight,MaxTempMean1_11,MaxTempMean12_22,MeanMaxTempIncubation,MinTempMean1_11,MinTempMean12_22,MeanMinTempIncubation,GDDSum1_11,GDDSum12_22,GDDSumIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation
4,V2 DBAR98,28,1998111,F,13.2,12.8,24,35.3,11.3,149.16,229.45,44,60.7,415,15.05050505,19.19191919,12.63157895,1.515151515,11.36363636,1.812865497,22,107,24,1.0922,7.0358,8.7122
4,Y5 HABL98,25.4,1998113,F,13.1,12.3,22.9,35.3,12.4,162.44,224.155,41.6,62.9,440,15.90909091,19.6969697,13.42105263,3.737373737,10.4040404,1.754385965,44,102,27,1.1684,6.7818,8.4582
4,M4 HANS98,24.8,1998117,F,12.9,12.6,21.2,33.3,12.1,156.09,212.2875,38.9,60.6,387,17.12121212,22.52525253,14.26900585,6.818181818,10.25252525,2.280701754,78,128,31,2.667,5.207,9.3472
4,B4 ROGO98,29,1998118,F,13.6,12.5,24.4,36.3,11.9,161.84,236.8575,44,57.1,425,18.83838384,22.67676768,14.00584795,8.333333333,10.05050505,1.900584795,94,128,31,1.8796,5.207,7.8994
4,U3 CCLI98,25.3,1998120,F,11.9,12.5,21.3,32.6,11.3,134.47,198.86,38.6,57.1,320,20.25252525,24.29292929,15.02923977,10.85858586,9.747474747,2.16374269,113,141,35,2.9718,4.1402,5.7912
4,G0 KNOL99,25.4,1999109,F,12.6,13.2,21,33.5,12.5,157.5,216.075,39.9,57.1,335,11.96969697,21.36363636,12.92397661,-1.414141414,7.424242424,0.935672515,0,92,26,2.1082,0.8382,3.7592
4,I2 KNOL99,26.4,1999109,F,12,13.3,22.8,35.9,13.1,157.2,227.0675,41.1,59,380,11.96969697,21.36363636,12.92397661,-1.414141414,7.424242424,0.935672515,0,92,26,2.1082,0.8382,3.7592
4,H1 KNOL99,26.5,1999109,F,13.6,13.7,24,36.8,12.8,174.08,251.16,41.6,59.1,415,11.96969697,21.36363636,12.92397661,-1.414141414,7.424242424,0.935672515,0,92,26,2.1082,0.8382,3.7592
4,B5 MNDY99,26.9,1999109,F,11.4,11.1,19.3,33.3,14,159.6,187.3125,42.4,58.6,350,11.96969697,21.36363636,12.92397661,-1.414141414,7.424242424,0.935672515,0,92,26,2.1082,0.8382,3.7592
4,N7 HAPA99,26.4,1999110,F,12.7,13.7,22.8,35.3,12.5,158.75,232.98,40.4,59.3,345,12.52525253,21.26262626,12.25146199,-1.414141414,7.575757576,0.701754386,0,92,22,1.8796,0.8382,3.7592
4,X7 MMUR99,25.5,1999111,F,13,12.3,21.2,34,12.8,166.4,215.05,39.1,53.1,295,13.58585859,21.06060606,12.13450292,-1.212121212,7.525252525,0.116959064,1,91,19,1.8796,0.8382,3.683
4,V5 HAWA99,26.5,1999111,F,12.8,12.6,21.9,34.2,12.3,157.44,217.17,41.1,59.3,390,13.58585859,21.06060606,12.13450292,-1.212121212,7.525252525,0.116959064,1,91,19,1.8796,0.8382,3.683
4,R1 HAWA99,25.6,1999112,F,13.2,13.5,21.4,34.2,12.8,168.96,228.285,40.3,59.6,393,14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,4,88,10,1.8796,0.8382,3.683
4,C7 CCPL99,26.4,1999112,F,12.3,12.5,23.6,36.9,13.3,163.59,228.78,40.3,59.5,375,14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,4,88,10,1.8796,0.8382,3.683
4,A5 CCPL99,26.9,1999112,F,14,12.8,24.4,37.3,12.9,180.6,249.91,40.3,58.9,395,14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,4,88,10,1.8796,0.8382,3.683
4,B6 CCPL99,27,1999112,F,12.6,11.9,23.2,36.7,13.5,170.1,224.7875,42.2,61.6,410,14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,4,88,10,1.8796,0.8382,3.683
4,H2 MART99,28,1999112,F,13,13.6,21.8,34.1,12.3,159.9,226.765,41.6,58.9,357,14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,4,88,10,1.8796,0.8382,3.683
4,K5 MART99,28,1999112,F,12.9,13,22,35.9,13.9,179.31,232.4525,41.4,59.7,362,14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,4,88,10,1.8796,0.8382,3.683
4,L6 EHCR99,28,1999113,F,12.9,13.2,23.8,37.5,13.7,176.73,244.6875,41.7,60.6,427,15.3030303,20.05050505,11.11111111,-0.909090909,7.373737374,-0.116959064,9,84,2,1.8796,0.8382,3.9116
4,N8 EHCR99,28,1999113,F,13.2,13.5,24.4,36.6,12.2,161.04,244.305,40.9,59.4,400,15.3030303,20.05050505,11.11111111,-0.909090909,7.373737374,-0.116959064,9,84,2,1.8796,0.8382,3.9116
4,D8 HART99,26,1999114,F,13.8,12.1,25.4,39.7,14.3,197.34,257.0575,40.6,58.2,395,16.56565657,19.8989899,11.11111111,-0.858585859,6.868686869,0.087719298,20,77,2,0.9652,0.8382,4.8768
4,E9 HART99,26,1999114,F,13.3,12.4,25.5,36.7,11.2,148.96,235.7975,42.3,58.8,375,16.56565657,19.8989899,11.11111111,-0.858585859,6.868686869,0.087719298,20,77,2,0.9652,0.8382,4.8768
4,F0 HART99,26,1999114,F,14.1,12.5,26,40.3,14.3,201.63,267.995,41.7,62.3,425,16.56565657,19.8989899,11.11111111,-0.858585859,6.868686869,0.087719298,20,77,2,0.9652,0.8382,4.8768
4,G1 HART99,26,1999114,F,12.9,13,23.5,36.1,12.6,162.54,233.7475,42.5,59.5,383,16.56565657,19.8989899,11.11111111,-0.858585859,6.868686869,0.087719298,20,77,2,0.9652,0.8382,4.8768
4,T4 EPLN99,27,1999117,F,12,12.2,23.1,35.5,12.4,148.8,214.775,42,59.1,402,20.1010101,19.7979798,10.90643275,3.737373737,6.161616162,-0.964912281,63,70,0,0,0.8382,4.7498
4,V6 EPLN99,27,1999117,F,13.1,12.3,22.2,32.8,10.6,138.86,208.28,42.4,58.2,350,20.1010101,19.7979798,10.90643275,3.737373737,6.161616162,-0.964912281,63,70,0,0,0.8382,4.7498
4,W7 HABL99,26.9,1999117,F,12.8,12.7,22.8,37,14.2,181.76,235.875,41.1,61.6,453,20.1010101,19.7979798,10.90643275,3.737373737,6.161616162,-0.964912281,63,70,0,0,0.8382,4.7498
4,C8 HOMT99,27,1999119,F,12.6,12.8,22,32.9,10.9,137.34,208.915,40.2,55.3,298,21.21212121,20.1010101,11.05263158,6.616161616,5.707070707,-1.111111111,88,68,0,0.7874,0.2794,3.7338
4,D9 HOMT99,27,1999119,F,12.6,12.3,24.6,36.6,12,151.2,227.835,41.6,58.3,360,21.21212121,20.1010101,11.05263158,6.616161616,5.707070707,-1.111111111,88,68,0,0.7874,0.2794,3.7338
5,H3 CCLI99,27.2,1999121,F,13.1,12.6,25,36.2,11.2,146.72,232.585,41.8,58.3,343,21.26262626,20.85858586,12.39766082,7.575757576,5.808080808,-0.643274854,92,74,1,0.8382,0.2286,2.9464
