name,id,nestName,sex,Field Sex
8,8 FOPA14,FOPA14,,
19,19 FOPA14,FOPA14,,
20,20 SINE14,SINE14,M,M
31,31 SINE14,SINE14,F,F
42,42 THOR14,THOR14,,
64,64 THOR14,THOR14,,
75,75 THOR14,THOR14,F,F
86,86 THOR14,THOR14,,
97,97 SEPG14,SEPG14,,
09,09 SEPG14,SEPG14,M,M
10,10 SEPG14,SEPG14,,
21,21 SEPG14,SEPG14,M,M
32,32 SEPG14,SEPG14,,
43,43 YFER14,YFER14,,
54,54 YFER14,YFER14,,
65,65 YFER14,YFER14,,
76,76 WCRI14,WCRI14,,
87,87 WCRI14,WCRI14,,
98,98 WCRI14,WCRI14,,
00,00 WCRI14,WCRI14,,
Dead under nest,Dead under nest MIPA14,MIPA14,,
11,11 WERO14,WERO14,,
22,22 WERO14,WERO14,,
33,33 WERO14,WERO14,,
44,44 WERO14,WERO14,,
55,55 YETH14,YETH14,,
66,66 YETH14,YETH14,,
77,77 LAPT14,LAPT14,,
88,88 LAPT14,LAPT14,,
99,99 LAPT14,LAPT14,,
AZ,AZ SWST14,SWST14,,
BY,BY SWST14,SWST14,,
DW,DW WAWD14,WAWD14,,
CX,CX WAWD14,WAWD14,,
FU,FU WAWD14,WAWD14,,
86-dead,86-dead THOR14,THOR14,,
HS,HS HSCH14,HSCH14,,
IR,IR LEOP14,LEOP14,,
KP,KP LEOP14,LEOP14,,
LO,LO LEOP14,LEOP14,,
AX,AX LAPT15,LAPT15,,
BW,BW LAPT15,LAPT15,,
CV,CV LAPT15,LAPT15,,
IP,IP LAPT15,LAPT15,,
OS-FP,OS-FP LANG15,LANG15,,
PS-FP,PS-FP LANG15,LANG15,,
RS-FP,RS-FP LANG15,LANG15,,
AS-FP,AS-FP LANG15,LANG15,,
JO,JO ECRI15,ECRI15,,
KN,KN ECRI15,ECRI15,,
LM,LM UPLA15,UPLA15,,
NK,NK UPLA15,UPLA15,,
OJ,OJ UPLA15,UPLA15,,
PI,PI THOR15,THOR15,,
QH,QH THOR15,THOR15,,
SF,SF THOR15,THOR15,,
XA,XA THOR15,THOR15,,
YZ,YZ BYWY15,BYWY15,,
ZY,ZY BYWY15,BYWY15,M,
AW,AW BYWY15,BYWY15,,
BV,BV BYWY15,BYWY15,,
CU,CU BYWY15,BYWY15,,
ES,ES WCRI15,WCRI15,,
