"1115","Ithaca","Corvus brachyrhynchos","1990","4 WEGO90","WEGO90","4","nestling","","",,"4","","4","0","4/27/1990","5/1/1990","","","","117","0","0","0","0","0","26.5","26.5","12.5","","?","0","0"," "
"1068","Ithaca","Corvus brachyrhynchos","1990","1 NWOD90","NWOD90","1","nestling","","",,"5","","5","0","4/26/1990","5/1/1990","","","","116","0","0","0","0","0","30","30","12","","?","0","0"," "
"1069","Ithaca","Corvus brachyrhynchos","1990","2 NWOD90","NWOD90","2","nestling","","",,"5","","5","0","4/26/1990","5/1/1990","","","","116","0","0","0","0","0","31","31","13","","?","0","0"," "
"1070","Ithaca","Corvus brachyrhynchos","1990","3 NWOD90","NWOD90","3","nestling","","",,"5","","5","0","4/26/1990","5/1/1990","","","","116","0","0","0","0","0","33","33","15","","?","0","0"," "
"1071","Ithaca","Corvus brachyrhynchos","1990","4 NWOD90","NWOD90","4","nestling","","",,"5","","5","0","4/26/1990","5/1/1990","","","","116","0","0","0","0","0","29.5","29.5","11.5","","?","0","0"," "
"1072","Ithaca","Corvus brachyrhynchos","1990","5 NWOD90","NWOD90","5","nestling","","",,"5","","5","0","4/26/1990","5/1/1990","","","","116","0","0","0","0","0","26","26","10.5","","?","0","0"," "
"1101","Ithaca","Corvus brachyrhynchos","1990","1 UPPA90","UPPA90","1","nestling","","",,"5","","5","0","4/28/1990","5/3/1990","","","","118","0","0","0","0","0","31.5","31.5","16","","?","0","0","Total length - 91  "
"1102","Ithaca","Corvus brachyrhynchos","1990","2 UPPA90","UPPA90","2","nestling","","",,"5","","5","0","4/28/1990","5/3/1990","","","","118","0","0","0","0","0","32.5","32.5","18","","?","0","0","Total length - 93  "
"1103","Ithaca","Corvus brachyrhynchos","1990","3 UPPA90","UPPA90","3","nestling","","",,"5","","5","0","4/28/1990","5/3/1990","","","","118","0","0","0","0","0","38","38","24","","?","0","0","Total length - 106  "
"1048","Ithaca","Corvus brachyrhynchos","1990","HR HOGS90","HOGS90","HR","nestling","","M",,"4","","4","0","4/30/1990","5/4/1990","","","","120","0","0","0","6.9","0","31","31","15.5","","?","0","0","Total length - 94  "
"1089","Ithaca","Corvus brachyrhynchos","1990","AZ SSAP90","SSAP90","AZ","nestling","","",,"25","","24.9323465","365","4/13/1990","5/8/1990","695-20421","5/8/1990","128","103","12.6","12.9","33.5","21.4","103","73","39.5","59","","0","0","0","Wheezing and stressed"
"1090","Ithaca","Corvus brachyrhynchos","1990","BY SSAP90","SSAP90","BY","nestling","","",,"25","","24.8204385","368","?","","695-20422","","","?","13.2","14.1","34.7","21.2","99","74.2","39.5","62","","0","0","0","Wheezing"
"1091","Ithaca","Corvus brachyrhynchos","1990","CX SSAP90","SSAP90","CX","nestling","","",,"25","","24.535544","300","4/13/1990","5/8/1990","695-20423","5/8/1990","128","103","12.7","13.1","30.8","19.5","88","71.2","40.4","57.7","","0","0","0"," "
"1092","Ithaca","Corvus brachyrhynchos","1990","DW SSAP90","SSAP90","DW","nestling","","",,"25","","24.3273785","340","4/13/1990","5/8/1990","695-20424","5/8/1990","128","103","12.7","14.7","32.4","20.5","79","72.3","39.9","58.7","","0","0","0"," "
"1031","Ithaca","Corvus brachyrhynchos","1990","1 CEME90","CEME90","1","nestling","","",,"3","","3","0","5/5/1990","5/8/1990","","","","125","0","0","0","0","0","26.5","26.5","13","","?","0","0","Total length - 85  "
"1032","Ithaca","Corvus brachyrhynchos","1990","2 CEME90","CEME90","2","nestling","","",,"3","","3","0","5/5/1990","5/8/1990","","","","125","0","0","0","0","0","30","30","14","","?","0","0","Total length - 91  "
"1033","Ithaca","Corvus brachyrhynchos","1990","3 CEME90","CEME90","3","nestling","","",,"3","","3","0","5/5/1990","5/8/1990","","","","125","0","0","0","0","0","34.5","34.5","16.5","","?","0","0","Total length - 107  "
"1080","Ithaca","Corvus brachyrhynchos","1990","1 SCEM90","SCEM90","1","nestling","","",,"8","","8","0","4/30/1990","5/8/1990","","","","120","0","0","0","0","0","49","49","26","","?","0","0"," "
"1081","Ithaca","Corvus brachyrhynchos","1990","2 SCEM90","SCEM90","2","nestling","","",,"8","","8","0","4/30/1990","5/8/1990","","","","120","0","0","0","0","0","46","46","25","","?","0","0"," "
"1082","Ithaca","Corvus brachyrhynchos","1990","3 SCEM90","SCEM90","3","nestling","","",,"8","","8","0","4/30/1990","5/8/1990","","","","120","0","0","0","0","0","46.5","46.5","26.5","","?","0","0"," "
"1109","Ithaca","Corvus brachyrhynchos","1990","EV WAIT90","WAIT90","EV","nestling","","",,"24","","24.686786","348","?","","695-20425","","","?","13.5","11.9","34.2","20.6","94","70.1","35.9","53.7","","0","0","0"," "
"1110","Ithaca","Corvus brachyrhynchos","1990","FU WAIT90","WAIT90","FU","nestling","","",,"24","","24.221426","263","?","","695-20426","","","?","12","13","31.9","19","74","68.1","36.2","47.8","","0","0","0"," "
"1111","Ithaca","Corvus brachyrhynchos","1990","GT WAIT90","WAIT90","GT","nestling","","",,"24","","24.535544","328","?","","695-20427","","","?","13.3","13.1","33","21.5","88","73.6","40.6","51.4","","0","0","0"," "
"1028","Ithaca","Corvus brachyrhynchos","1990","HS ALEX90","ALEX90","HS","nestling","","",,"26","","25.1694585","300","?","","695-20428","","","?","13.2","13.7","32.5","21.4","111","72.1","39.6","58.6","","0","","","explosive fledge  "
"1029","Ithaca","Corvus brachyrhynchos","1990","IR ALEX90","ALEX90","IR","nestling","","",,"26","","24.7129625","353","?","","695-20429","","","?","13.5","13.8","34.6","22.4","95","73.8","39.2","57.1","","0","",""," "
"1030","Ithaca","Corvus brachyrhynchos","1990","JQ ALEX90","ALEX90","JQ","nestling","","",,"26","","25.391474","315","?","","695-20430","","","?","13.1","13.3","32.5","21.2","118","74.3","41.8","55.8","","0","",""," "
"1097","Ithaca","Corvus brachyrhynchos","1990","KP STAT90","STAT90","KP","nestling","","",,"28","","28","460","?","","695-20431","","","?","14.7","14.5","38.1","25.2","125","82.4","44.3","61.7","","0","75",""," "
"1098","Ithaca","Corvus brachyrhynchos","1990","LO STAT90","STAT90","LO","nestling","","",,"28","","28","415","?","","695-20432","","","?","14.4","14.2","37.3","25.1","135","81.2","43.9","59","","0","82","","Right hallux torn off  "
"1099","Ithaca","Corvus brachyrhynchos","1990","MN STAT90","STAT90","MN","nestling","","",,"28","","28","385","?","","695-20433","","","?","13.5","13.8","36.4","23.9","129","78.1","41.7","58.9","","0","77",""," "
"1100","Ithaca","Corvus brachyrhynchos","1990","NM STAT90","STAT90","NM","nestling","","",,"28","","28","430","?","","695-20434","","","?","13.9","16.7","37.6","23.7","118","79","41.4","59.4","","0","64",""," "
