"","Year","Name","NestName","ID","FieldAge","CalcAge","HatchDateJul","HatchDateJulYear","AllSex","BNT","BW","BD","TEC","Head","UB","UBS","TBS","Skull","Tarsus","Weight","Date","MaxTempMean1_11","MaxTempMean12_22","MeanMaxTempIncubation","MinTempMean1_11","MinTempMean12_22","MeanMinTempIncubation","PrecipSum1_11","PrecipSum12_22","PrecipSumIncubation","GDDSum1_11","GDDSum12_22","GDDSumIncubation","CDDSum1_11","CDDSum12_22","CDDSumIncubation","HDDSum1_11","HDDSum12_22","HDDSumIncubation"
"28",1990,"SH","KNOL90","SH KNOL90",26,26,111,1990111,"M",23.9,13.4,13.9,36.1,78.5,12.2,169.58,246.3825,42.4,61.5,390,"4/21/1990",22.979797979798,16.8686868686869,9.35672514619883,8.98989898989899,5.2020202020202,-0.087719298245614,1.6764,3.7846,8.4836,127,46,3,23,4,0,67,147,462
"29",1990,"TG","KNOL90","TG KNOL90",26,26,111,1990111,"",23.1,13.1,13.1,34,75.2,10.9,142.79,222.7,41.2,60.8,360,"4/21/1990",22.979797979798,16.8686868686869,9.35672514619883,8.98989898989899,5.2020202020202,-0.087719298245614,1.6764,3.7846,8.4836,127,46,3,23,4,0,67,147,462
"30",1990,"UF","KNOL90","UF KNOL90",26,26,111,1990111,"",24.2,14.7,13.5,36.6,79,12.4,167.4,258.03,42.4,60.7,420,"4/21/1990",22.979797979798,16.8686868686869,9.35672514619883,8.98989898989899,5.2020202020202,-0.087719298245614,1.6764,3.7846,8.4836,127,46,3,23,4,0,67,147,462
"31",1990,"VE","KNOL90","VE KNOL90",26,26,111,1990111,"",23.8,13.4,12.7,35.8,77,12,152.4,233.595,41.2,60.6,372,"4/21/1990",22.979797979798,16.8686868686869,9.35672514619883,8.98989898989899,5.2020202020202,-0.087719298245614,1.6764,3.7846,8.4836,127,46,3,23,4,0,67,147,462
"32",1990,"WD","PWAY90","WD PWAY90",27,26.5,111,1990111,"",24.9,14.1,13.2,36.4,79.4,11.5,151.8,248.43,43,57,333,"4/21/1990",22.979797979798,16.8686868686869,9.35672514619883,8.98989898989899,5.2020202020202,-0.087719298245614,1.6764,3.7846,8.4836,127,46,3,23,4,0,67,147,462
"33",1990,"CW","NWOD90","CW NWOD90",27,27,116,1990116,"",22,12.8,13.7,33,76.3,11,150.7,218.625,43.3,59.3,425,"4/26/1990",22.020202020202,18.030303030303,13.0409356725146,8.38383838383838,7.62626262626263,1.66666666666667,2.4892,4.8514,4.3942,114,73,41,22,4,4,82,111,374
"34",1990,"DV","NWOD90","DV NWOD90",27,27,116,1990116,"",22.1,14.1,13.4,34.2,78,12.1,162.14,235.125,43.8,60,470,"4/26/1990",22.020202020202,18.030303030303,13.0409356725146,8.38383838383838,7.62626262626263,1.66666666666667,2.4892,4.8514,4.3942,114,73,41,22,4,4,82,111,374
"35",1990,"EU","NWOD90","EU NWOD90",27,27,116,1990116,"",21,13,13.2,31.9,74.8,10.9,143.88,208.945,42.9,57.6,380,"4/26/1990",22.020202020202,18.030303030303,13.0409356725146,8.38383838383838,7.62626262626263,1.66666666666667,2.4892,4.8514,4.3942,114,73,41,22,4,4,82,111,374
"36",1990,"FT","NWOD90","FT NWOD90",27,27,116,1990116,"",22.3,12.5,12.9,33.4,76.8,11.1,143.19,212.09,43.4,59.9,405,"4/26/1990",22.020202020202,18.030303030303,13.0409356725146,8.38383838383838,7.62626262626263,1.66666666666667,2.4892,4.8514,4.3942,114,73,41,22,4,4,82,111,374
"37",1990,"GS","NWOD90","GS NWOD90",27,27,116,1990116,"",19.9,14.1,13.2,30.6,73.6,10.7,141.24,208.845,43,59.7,408,"4/26/1990",22.020202020202,18.030303030303,13.0409356725146,8.38383838383838,7.62626262626263,1.66666666666667,2.4892,4.8514,4.3942,114,73,41,22,4,4,82,111,374
"38",1990,"YB","WEGO90","YB WEGO90",25,25,117,1990117,"",23.3,14.3,13.8,36,78.6,12.7,175.26,252.9,42.6,60.8,440,"4/27/1990",20.7070707070707,18.989898989899,14.327485380117,7.47474747474747,8.33333333333333,2.45614035087719,2.6162,5.1054,4.3434,96,86,59,19,4,7,101,94,342
"39",1990,"ZA","WEGO90","ZA WEGO90",25,25,117,1990117,"F",21.9,14,13.4,33.1,73,11.2,150.08,226.735,39.9,54.8,380,"4/27/1990",20.7070707070707,18.989898989899,14.327485380117,7.47474747474747,8.33333333333333,2.45614035087719,2.6162,5.1054,4.3434,96,86,59,19,4,7,101,94,342
"40",1990,"AY","WEGO90","AY WEGO90",25,25,117,1990117,"",23,14.9,14,35.2,77.7,12.2,170.8,254.32,42.5,61,447,"4/27/1990",20.7070707070707,18.989898989899,14.327485380117,7.47474747474747,8.33333333333333,2.45614035087719,2.6162,5.1054,4.3434,96,86,59,19,4,7,101,94,342
"41",1990,"BX","WEGO90","BX WEGO90",25,25,117,1990117,"",21.8,13.5,13.2,33.4,75.8,11.6,153.12,222.945,42.4,58.2,380,"4/27/1990",20.7070707070707,18.989898989899,14.327485380117,7.47474747474747,8.33333333333333,2.45614035087719,2.6162,5.1054,4.3434,96,86,59,19,4,7,101,94,342
"42",1990,"XC","UPPA90","XC UPPA90",24,24,118,1990118,"F",17.9,12.6,11.7,31.3,68.7,13.4,156.78,190.1475,37.4,53.9,292,"4/28/1990",19.2424242424242,18.9393939393939,15.5555555555556,7.17171717171717,8.28282828282828,3.21637426900585,2.7432,5.1562,4.3434,79,85,79,16,4,12,115,95,313
"43",1990,"IQ","WPAR90","IQ WPAR90",27,27.7,118,1990118,"",23.9,12.2,12.5,36.7,78.3,12.8,160,226.6225,41.6,57,365,"4/28/1990",19.2424242424242,18.9393939393939,15.5555555555556,7.17171717171717,8.28282828282828,3.21637426900585,2.7432,5.1562,4.3434,79,85,79,16,4,12,115,95,313
"44",1990,"JP","WPAR90","JP WPAR90",27,25.5,118,1990118,"",23.3,13.7,13.6,36.2,76.9,12.9,175.44,247.065,40.7,59.1,325,"4/28/1990",19.2424242424242,18.9393939393939,15.5555555555556,7.17171717171717,8.28282828282828,3.21637426900585,2.7432,5.1562,4.3434,79,85,79,16,4,12,115,95,313
"45",1990,"HR","HOGS90","HR HOGS90",24,24,120,1990120,"M",22,13.4,13,34.6,74.8,12.6,163.8,228.36,40.2,59.1,415,"4/30/1990",18.3838383838384,17.0707070707071,17.0175438596491,6.91919191919192,7.37373737373737,4.56140350877193,2.7432,7.5438,2.1082,67,58,119,4,0,23,115,118,276
"46",1990,"NL","CEME90","NL CEME90",24,24,125,1990125,"",19,12.3,11,29.1,66.8,10.1,111.1,169.5075,37.7,49.9,200,"5/5/1990",17.0707070707071,17.2727272727273,19.3567251461988,6.16161616161616,7.97979797979798,6.08187134502924,5.5372,4.9022,4.2418,51,60,137,4,0,23,135,110,211
"47",1990,"OK","CEME90","OK CEME90",24,24,125,1990125,"",20.3,12.4,12.2,31.6,69.9,11.3,137.86,194.34,38.3,52.2,215,"5/5/1990",17.0707070707071,17.2727272727273,19.3567251461988,6.16161616161616,7.97979797979798,6.08187134502924,5.5372,4.9022,4.2418,51,60,137,4,0,23,135,110,211
"48",1990,"PJ","CEME90","PJ CEME90",24,24,125,1990125,"",20.4,12,11,30.7,69.3,10.3,113.3,176.525,38.6,53.5,237,"5/5/1990",17.0707070707071,17.2727272727273,19.3567251461988,6.16161616161616,7.97979797979798,6.08187134502924,5.5372,4.9022,4.2418,51,60,137,4,0,23,135,110,211
"49",1990,"NL","CEME90","NL CEME90",28,28,125,1990125,"",19.4,11.8,11,30.5,70.2,11.1,122.1,173.85,39.7,51,230,"5/5/1990",17.0707070707071,17.2727272727273,19.3567251461988,6.16161616161616,7.97979797979798,6.08187134502924,5.5372,4.9022,4.2418,51,60,137,4,0,23,135,110,211
