Year,Name,NestName,ID,MeasurementDate,MeasurementDateJulYear,FieldAge,CalcAge,CalcAgeInteger,HatchDateJulYear,Sex,BNT,TEC,BW,BD,Head,UB,UBS,TBS,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition
1991,CV,HART91,CV HART91,5/13/1991,1991133,27,27.1,27,1991106,,23,35.3,13.7,14.4,76.7,12.3,177.12,247.9825,41.4,59.5,180,127,74,400,0.12
1991,DU,HART91,DU HART91,5/13/1991,1991133,27,26.3,26,1991107,M,21.1,33,12.2,12.5,75.1,11.9,148.75,203.775,42.1,56,167,116,60,335,0.12
1991,ET,HART91,ET HART91,5/13/1991,1991133,27,26.3,26,1991107,M,20.9,35.1,14.4,14.7,75,14.2,208.74,255.3525,39.9,57.8,163,119,57,385,0.13
1991,FS,HART91,FS HART91,5/13/1991,1991133,27,25.8,26,1991107,M,21.9,35.6,14.3,13,75.9,13.7,178.1,242.97,40.3,58,164,111,49,325,0.12
1991,TD,HAYT91,TD HAYT91,5/23/1991,1991143,26,26.3,26,1991117,,23.7,36.5,14.9,13.5,78.5,12.8,172.8,259.15,42,61.4,168,113,63,340,0.11
1991,UC,HAYT91,UC HAYT91,5/23/1991,1991143,26,25.8,26,1991117,,23.3,35.5,14.9,14.3,78,12.2,174.46,259.15,42.5,58.3,156,105,55,320,0.12
1991,VB,HAYT91,VB HAYT91,5/23/1991,1991143,26,27.5,28,1991115,,24.3,35.5,14.7,13.8,78.6,11.2,154.56,252.9375,43.1,60.1,178,130,79,350,0.12
1991,WA,HAYT91,WA HAYT91,5/23/1991,1991143,26,27.6,28,1991115,,26.5,38.8,14.8,15.2,83.3,12.3,186.96,291,44.5,60.8,193,127,84,400,0.12
1991,XZ,HAYT91,XZ HAYT91,5/23/1991,1991143,26,26.2,26,1991117,,22.9,34.9,14.1,13.6,76,12,163.2,241.6825,41.1,59.1,167,110,62,330,0.12
1991,VC,HIHI91,VC HIHI91,5/20/1991,1991140,27,28.7,29,1991111,M,26.3,39.9,13.5,14.3,86.6,13.6,194.48,277.305,46.7,63,217,143,95,440,0.12
1991,WB,HIHI91,WB HIHI91,5/20/1991,1991140,27,28.4,28,1991112,M,25.8,38.7,13.8,14.6,82,12.9,188.34,274.77,43.3,59,199,141,90,387,0.12
1991,LM,LOWL91,LM LOWL91,5/15/1991,1991135,24,25.7,26,1991109,,23.2,35.3,14.8,13.5,76.6,12.1,163.35,249.7475,41.3,61.9,158,101,56,410,0.12
1991,ML,LOWL91,ML LOWL91,5/15/1991,1991135,24,25.5,26,1991109,F,22.3,35.6,14.6,15.4,74.8,13.3,204.82,267,39.2,60.5,153,96,55,367,0.12
1991,NK,LOWL91,NK LOWL91,5/15/1991,1991135,24,25.4,25,1991110,,23.5,36.6,14.9,15.1,77.9,13.1,197.81,274.5,41.3,61.8,157,96,49,390,0.12
1991,CT,LUCE91,CT LUCE91,5/23/1991,1991143,27,27.8,28,1991115,,22.3,33.6,14.8,14.2,76.4,11.3,160.46,243.6,42.8,59,179,122,93,320,0.12
1991,IO,NWOD91,IO NWOD91,5/21/1991,1991141,27,26.7,27,1991114,,23.2,34.8,13.7,13.5,78.1,11.6,156.6,236.64,43.3,61.4,177,123,65,390,0.12
1991,JN,NWOD91,JN NWOD91,5/21/1991,1991141,27,26.3,26,1991115,,22.3,33.8,15.3,14.1,76.6,11.5,162.15,248.43,42.8,61.2,173,116,62,392,0.12
1991,KM,NWOD91,KM NWOD91,5/21/1991,1991141,27,27.7,28,1991113,,23.5,36.7,13.9,13.9,80.4,13.2,183.48,255.065,43.7,60.8,189,134,81,445,0.13
1991,LL,NWOD91,LL NWOD91,5/21/1991,1991141,27,27.5,28,1991113,,23.4,36.6,15.6,14.5,81.1,13.2,191.4,275.415,44.5,63.5,186,133,77,435,0.12
1991,XA,OVRL91,XA OVRL91,5/20/1991,1991140,28,26.5,27,1991113,,21.6,34.8,16.1,13,73.2,13.2,171.6,253.17,38.4,55.5,169,120,63,295,0.12
1991,AU,PAHA91,AU PAHA91,6/3/1991,1991154,26,25.8,26,1991128,,23.2,36.4,14.4,13.3,76.7,13.2,175.56,252.07,40.3,60,173,108,52,352,0.12
1991,ZW,PAHA91,ZW PAHA91,6/3/1991,1991154,26,24.9,25,1991129,,23.6,35.6,15.4,13.4,76.6,12,160.8,256.32,41,59.3,151,90,32,340,0.12
1991,MK,PINW91,MK PINW91,5/22/1991,1991142,27,27.7,28,1991114,,22.9,35.8,15,13,78.4,12.9,167.7,250.6,42.6,61.6,190,133,83,390,0.12
1991,NJ,PINW91,NJ PINW91,5/22/1991,1991142,27,25.8,26,1991116,,20.9,32.9,14.6,12.2,71.7,12,146.4,220.43,38.8,55.9,167,107,54,335,0.12
1991,OI,PINW91,OI PINW91,5/22/1991,1991142,27,26.9,27,1991115,,22.6,33.9,15.2,13.6,76.2,11.3,153.68,244.08,42.3,59.4,185,123,72,365,0.12
1991,PH,PINW91,PH PINW91,5/22/1991,1991142,27,26.9,27,1991115,M,24.3,37.8,15.2,15.2,79.2,13.5,205.2,287.28,41.4,60.5,188,128,67,415,0.12
1991,ES,SECE91,ES SECE91,5/21/1991,1991141,30,28.2,28,1991113,,26.1,38.1,14.5,14,82.1,12,168,271.4625,44,59.5,191,140,87,420,0.13
1991,FR,SECE91,FR SECE91,5/21/1991,1991141,30,28.3,28,1991113,,25.7,39,15.9,14.8,83,13.3,196.84,299.325,44,61.7,202,140,90,425,0.12
1991,GQ,SECE91,GQ SECE91,5/21/1991,1991141,30,28.9,29,1991112,,23.5,35.2,15.4,14.3,77.4,11.7,167.31,261.36,42.2,57.7,203,145,97,375,0.12
1991,QF,SSAP91,QF SSAP91,5/28/1991,1991148,25,25.7,26,1991122,,23.6,38.3,13.7,14.6,77,14.7,214.62,270.9725,38.7,58.8,164,102,55,350,0.12
1991,RE,SSAP91,RE SSAP91,5/28/1991,1991148,25,25.5,26,1991122,,22.6,35,15.9,13.2,76.8,12.4,163.68,254.625,41.8,55.4,155,95,53,340,0.13
1991,SD,SSAP91,SD SSAP91,5/28/1991,1991148,25,25.9,26,1991122,,23.3,36.4,15,13.4,76.8,13.1,175.54,258.44,40.4,60.1,166,102,60,360,0.12
1991,MI,SWEG91,MI SWEG91,6/28/1991,1991179,25,25.9,26,1991153,,24.6,38.1,16.4,14.7,79.1,13.5,198.45,296.2275,41,62.7,181,112,53,443,0.12
1991,BT,TRCH91,BT TRCH91,6/3/1991,1991154,25,25,25,1991129,,23.5,33.3,16,14.6,76.1,9.8,143.08,254.745,42.8,60,150,89,39,415,0.12
1991,CS,TRCH91,CS TRCH91,6/3/1991,1991154,25,25.9,26,1991128,,24.7,36.3,14.4,13.7,77,11.6,158.92,255.0075,40.7,57.6,170,110,54,400,0.13
1991,DR,TRCH91,DR TRCH91,6/3/1991,1991154,25,25.3,25,1991129,,25.7,36.3,16.6,14.6,78.4,10.6,154.76,283.14,42.1,59.3,157,99,42,415,0.13
1991,EQ,TRCH91,EQ TRCH91,6/3/1991,1991154,25,26.1,26,1991128,,24.4,36,14.3,13.3,77.4,11.6,154.28,248.4,41.4,60,175,111,59,393,0.12
1991,FP,TRCH91,FP TRCH91,6/3/1991,1991154,25,26,26,1991128,,25.4,36.9,16.1,15.7,79.3,11.5,180.55,293.355,42.4,61.5,176,111,57,447,0.12
1991,doa,TRIQ91,doa TRIQ91,5/20/1991,1991140,29,27.6,28,1991112,,24.4,36.4,14.5,13.7,80.2,12,164.4,256.62,43.8,59.9,191,140,73,387,0.12
1991,YZ,TRIQ91,YZ TRIQ91,5/20/1991,1991140,29,28.3,28,1991112,,26,38.5,15.3,14.5,83.8,12.5,181.25,286.825,45.3,60.8,206,149,81,417,0.12
1991,ZY,TRIQ91,ZY TRIQ91,5/20/1991,1991140,29,27.4,27,1991113,,24.7,35.4,13,13.8,79.7,10.7,147.66,237.18,44.3,57.6,190,130,78,372,0.12
1991,IN,TRUM91,IN TRUM91,5/27/1991,1991147,24,26.2,26,1991121,,23.7,36.8,14.1,14.3,79.3,13.1,187.33,261.28,42.5,65.1,170,112,60,380,0.11
1991,JM,TRUM91,JM TRUM91,5/27/1991,1991147,24,26.1,26,1991121,,24.8,37.8,15.7,13.7,79.8,13,178.1,277.83,42,63.9,178,109,60,380,0.11
1991,LK,TRUM91,LK TRUM91,5/27/1991,1991147,24,26,26,1991121,,24.4,36.8,14.8,14.4,78.6,12.4,178.56,268.64,41.8,63.4,160,111,56,368,0.11
1991,RG,WHIT91,RG WHIT91,5/17/1991,1991137,28,26.5,27,1991110,,22.4,33.9,14,13.4,75.5,11.5,154.1,232.215,41.6,52.9,173,121,62,320,0.13
1991,MJ,WILG91,MJ WILG91,5/28/1991,1991148,30,26.6,27,1991121,,25.4,37.9,13.4,14.3,83.5,12.5,178.75,262.4575,45.6,62.1,186,120,67,450,0.12
1991,NI,WILG91,NI WILG91,5/28/1991,1991148,30,26.9,27,1991121,,25.4,37.6,14.4,13.7,81.4,12.2,167.14,264.14,43.8,61.3,182,121,72,415,0.12
1991,OH,WILG91,OH WILG91,5/28/1991,1991148,30,25.8,26,1991122,F,23.5,37.3,14.4,14.5,78.5,13.8,200.1,269.4925,41.2,60.8,169,105,57,400,0.12
1991,PG,WILG91,PG WILG91,5/28/1991,1991148,30,26.6,27,1991121,M,26.5,39.3,14.6,14.9,83.8,12.8,190.72,289.8375,44.5,63.3,180,122,63,435,0.12
1991,VA,WINT91,VA WINT91,5/29/1991,1991149,25,24.6,25,1991124,M,22,34.9,15.1,13.4,75.2,12.9,172.86,248.6625,40.3,59,139,81,29,277,0.11
1991,XY,WINT91,XY WINT91,5/29/1991,1991149,25,25.5,26,1991123,F,21.3,32.8,13.9,13.7,73.1,11.5,157.55,226.32,40.3,56.8,156,104,47,320,0.12
1991,TC,WPAR91,TC WPAR91,5/29/1991,1991149,25,25.7,26,1991123,,21.5,33.3,14.6,13.1,73.9,11.8,154.58,230.6025,40.6,59,161,103,53,275,0.11
1991,UB,WPAR91,UB WPAR91,5/29/1991,1991149,25,26.7,27,1991122,,25,38.1,17.4,16,81.1,13.1,209.6,318.135,43,60.7,185,121,67,382,0.12
1992,CR,BROT92,CR BROT92,5/12/1992,1992133,24,24.7,25,1992108,,23.1,35.6,14.7,13,77.9,12.5,162.5,246.53,42.3,63.3,138,80,34,420,0.12
1992,DQ,BROT92,DQ BROT92,5/12/1992,1992133,24,24.9,25,1992108,F,22.2,34.1,14,12.7,74.8,11.9,151.13,227.6175,40.7,61.5,143,87,40,405,0.12
