row,id,family,year,age,sex,tongY1,palY1,meanY1,tongM1,palM1,meanM1,sat1 ,hue1,tongY2,palY2,meanY2,tongM2,palM2,meanM2,sat2,hue2,bodTemp1,bodTemp2,diffBodTemp,ambTemp1,ambTemp2,ambFinal,broodSize,bandTime1,bandTime2,handleTime,bandOrder,time1,time2,obtainTime,date,julDate,mass,tailLength,tarsus,wingChord,sevenPrim,expSevenPrim,billNT,billWidth,billDepth,TEC,head,skull,timeOut1,timeOut2,obt1Max,obt1Min,obt1Max,obt1Min,t1MaxMinusHour,t1MinMinusHour,t1MeanMinusHour,t1MaxAtBand,t1MinAtBand,t1MeanAtBand,futureBreeder,broodSize,familyProducedBreeder,comments
175,QF IEQR05,IEQR05,2005,24,F,40,40,40,80,90,85,125,0.68,40,40,40,70,70,70,110,0.636,39.8,39.6,0.3,22.3,,22.3,5,14:57:00,15:07:00,,,14:20:00,15:08:00,13:56:00,5/17/2005,137,312,38,58.8,149,91,40,21.4,14,12.4,34.5,74,39.5,24,72,,,,,,,,,,,2,5,2,
177,LK IEQR05,IEQR05,2005,24,F,40,40,40,80,80,80,120,0.667,50,50,50,80,80,80,130,0.615,41.1,40.1,1,22.3,,22.3,5,14:38:00,14:44:00,,,14:36:00,14:47:00,13:56:00,5/17/2005,137,350,53,59.2,163,100,56,22.2,13,11.8,34.6,74.9,40.3,40,51,,,,,,,,,,,2,5,2,
205,FR NBUR05,NBUR05,2005,28,F,40,50,45,70,80,75,120,0.625,50,40,45,50,70,60,105,0.571,41.4,40.8,0.6,22,,22,5,15:31:00,15:46:00,,,14:44:00,15:47:00,,5/20/2005,140,328,74,52.6,175,122,87,22.4,10.6,10.7,32.5,74.6,42.1,,,,,,,,,,,,,2,5,2,EXPLOSIVE FLEDGER
206,YW NBUR05,NBUR05,2005,28,M,40,60,50,80,90,85,135,0.63,50,50,50,70,90,80,130,0.615,40.6,39.9,0.7,22,,22,5,15:19:00,15:30:00,,,14:52:00,15:31:00,,5/20/2005,140,372,58,55.5,171,119,80,22.6,11.6,11.3,32.8,78.2,45.4,,,,,,,,,,,,,2,5,2,
208,ZV NBUR05,NBUR05,2005,28,M,40,30,35,70,80,75,110,0.682,30,40,35,70,80,75,110,0.682,40.2,40.8,-0.6,22,,22,5,15:25:00,15:39:00,,,14:59:00,15:39:00,,5/20/2005,140,320,70,55.2,182,129,90,22.4,11.6,11.4,31.9,75.8,43.9,,,,,,,,,,,,,2,5,2,
27,1M LRIS03,LRIS03,2003,25,M,30,30,30,70,70,70,100,0.7,40,40,40,70,80,75,115,0.652,40.1,39.4,0.7,17.2,,17.2,5,15:16:00,15:27:00,11,3,14:58:00,15:30:00,14:30:00,5/16/2003,136,375,50,63.6,164,105,62,22.4,14.1,13,34.2,75.3,41.1,28,60,60.5,57.9,61.1,60.2,60.5,57.9,59.3,61.1,60.2,60.6,2,5,2, 
117,SP-WO HAWA04,SP-WO HAWA05,2004,22,M,30,30,30,80,80,80,110,0.727,30,30,30,99,90,94.5,124.5,0.759,39.6,38.1,1.4,14.9,19.9,14.9,5,,,,,14:08:00,14:53:00,13:38:00,5/19/2004,140,215,11,52,98,47,20,17.5,12.8,11.6,29.4,65.6,36.2,30,75,,,,,,,,,,18.44,2,5,2,used B30 on tongue1 & tongue/palette2
110,74 MINE04,74 MINE04,2004,27,M,70,40,55,70,50,60,115,0.522,60,50,55,60,60,60,115,0.522,39.7,38.1,1.6,19.2,22.5,19.2,4,,,,,11:10:00,11:59:00,10:47:00,5/19/2004,140,417,56,60.7,169,109,57,24.6,14.1,14.4,36.2,79.9,43.7,23,72,,,,,,,,,,13.89,2,4,2,
120,64 ROWA04,64 ROWA04,2004,24,F,70,40,55,80,70,75,130,0.577,70,50,60,60,70,65,125,0.52,41.4,39.1,2.3,21.7,20.7,21.7,4,,,,,10:14:00,10:55:00,9:48:00,5/20/2004,141,342,53,60.1,152,95,45,22.4,13.3,13,32.3,73.5,41.2,26,67,,,,,,,,,,17.39,2,4,1,
141,CX SLIM04,CX SLIM05,2004,26,M,70,50,60,80,80,80,140,0.571,60,60,60,70,80,75,135,0.556,41.7,,,24.7,,24.7,4,,,,,16:17:00,16:33:00,15:20:00,5/25/2004,146,415,61,58.8,168,111,64,24,14.5,13.6,36.5,77.3,40.8,57,73,,,,,,,,,,21.56,2,4,2,
143,FU SLIM04,FU SLIM05,2004,26,M,70,50,60,70,80,75,135,0.556,70,60,65,80,90,85,150,0.567,41.3,41.2,0.1,24.3,22.3,24.3,4,,,,,16:30:00,16:56:00,15:20:00,5/25/2004,146,387,57,55.5,164,110,60,23.2,13.7,13.3,36.5,74.6,38.1,70,96,,,,,,,,,,21.56,2,4,2,
29,4P BRTN03,BRTN03,2003,24,,60,50,55,70,70,70,125,0.56,50,50,50,50,60,55,105,0.524,40.6,40.7,-0.1,,,14.4,4,11:08:00,11:23:00,15,1,11:04:00,12:03:00,10:34:00,5/17/2003,137,417,55,60.4,156,100,46,22,12.1,13.1,33.6,76,42.4,30,89,54,49.6,56.1,53.8,56.1,53.8,55.1,60.3,55.6,14.39,2,4,2, 
30,7S BRTN03,BRTN03,2003,24,M,60,60,60,80,80,80,140,0.571,,,,,,,,,39.8,,39.8,,,14.4,4,11:45:00,11:55:00,10,4,11:09:00,,10:34:00,5/17/2003,137,407,52,60.4,153,95,47,21.7,12.9,12.7,34.4,76.2,41.8,35,,54,49.6,56.1,53.8,56.1,53.8,55.1,60.3,55.6,14.39,2,4,2, 
49,1L NEWC03,NEWC03,2003,28,F,60,50,55,70,70,70,125,0.56,,,,,,,,,42.1,,,21.1,,21.1,4,,,,3,12:26:00,,12:10:00,5/20/2003,140,342,67,57.2,187,129,80,23.2,12.8,12.3,35.9,77,41.1,16,,71.2,69,73.5,70.9,71.2,69,70.3,73.5,70.9,72.1,2,4,1, 
52,9J NEWC03,NEWC03,2003,28,F,60,50,55,70,60,65,120,0.542,,,,,,,,,42.3,,,21.1,,21.1,4,,,,1,12:40:00,,12:10:00,5/20/2003,140,375,79,55.9,189,134,88,23,12.1,12.3,35.8,77.2,41.4,30,,71.2,69,73.5,70.9,71.2,69,70.3,73.5,70.9,72.1,1,4,1, 
53,5P WARC03,WARC03,2003,31,M,60,50,55,80,70,75,130,0.577,,,,,,,,,42.2,,,21.1,,21.1,4,,,,3,14:27:00,,,5/20/2003,140,455,94,59.9,205,145,109,26.6,14,15,41,82.7,41.7,,,,,,,76.1,72.7,74.7,75.3,73.7,74.4,2,4,2, 
54,6Q WARC03,WARC03,2003,31,M,60,60,60,60,70,65,125,0.52,,,,,,,,,42.3,,,21.1,,21.1,4,,,,4,14:32:00,,,5/20/2003,140,464,90,60.5,201,140,94,25.6,13.7,14.7,40.5,82.3,41.8,,,,,,,76.1,72.7,74.7,75.3,73.7,74.4,2,4,2, 
55,3N WARC03,WARC03,2003,31,M,60,30,45,70,50,60,105,0.571,,,,,,,,,42.1,,,21.1,,21.1,4,,,,1,14:47:00,,,5/20/2003,140,402,100,54.9,203,147,110,24.4,12.4,13.8,36.9,78.1,41.2,,,,,,,76.1,72.7,74.7,75.3,73.7,74.4,2,4,2, 
56,4O WARC03,WARC03,2003,31,F,60,60,60,70,70,70,130,0.538,,,,,,,,,41.9,,,21.1,,21.1,4,,,,2,14:50:00,,,5/20/2003,140,430,95,56.2,203,144,108,24.6,12.2,14,37.2,79.4,42.2,,,,,,,76.1,72.7,74.7,75.3,73.7,74.4,2,4,2, 
91,50 CCLI04,CCLI04,2004,24,M,60,50,55,90,90,90,145,0.621,50,40,45,80,80,80,125,0.64,39.4,39.8,-0.4,,,11.6,4,,,,,12:30:00,12:46:00,12:20:00,5/8/2004,129,452,48,60.9,155,95,43,20.3,12.9,12.6,33.3,75.6,42.3,10,26,,,,,,,,,,11.61,2,4,2,
93,72 CCLI04,72 CCLI04,2004,24,F,60,50,55,80,90,85,140,0.607,40,40,40,60,80,70,110,0.636,40.1,39.4,0.6,,,11.6,4,,,,,12:36:00,13:10:00,12:20:00,5/8/2004,129,373,40,58.6,143,89,34,19.6,12.6,12.6,32.3,70.1,37.8,16,50,,,,,,,,,,11.61,2,4,2,
94,83 CCLI04,83 CCLI04,2004,24,F,60,50,55,90,90,90,145,0.621,50,40,45,70,80,75,120,0.625,39.7,39.4,0.3,,,11.6,4,,,,,12:39:00,13:23:00,12:20:00,5/8/2004,129,325,20,52.9,129,64,23,16.7,11.3,12.3,29.3,64.7,35.4,19,63,,,,,,,,,,11.61,2,4,2,
105,29 LOCO04,29 LOCO04,2004,23,F,60,60,60,90,90,90,150,0.6,70,70,70,90,90,90,160,0.563,42,40.9,1.1,28.3,28.7,28.3,4,,,,,16:15:00,16:46:00,16:07:00,5/17/2004,138,300,41,54.7,138,82,39,20.8,13.2,12,32.4,69.9,37.5,8,39,,,,,,,,,,25.94,2,4,2,
106,30 LOCO04,30 LOCO04,2004,23,M,60,60,60,80,90,85,145,0.586,60,60,60,90,90,90,150,0.6,41.6,40.3,1.3,28.3,28.7,28.3,4,,,,,16:18:00,16:54:00,16:07:00,5/17/2004,138,347,42,57.3,140,82,30,20.4,12.9,12.8,33.4,72.3,38.9,11,47,,,,,,,,,,25.94,2,4,2,
107,41 LOCO04,41 LOCO04,2004,23,F,60,60,60,70,80,75,135,0.556,60,50,55,90,80,85,140,0.607,41.4,40.7,0.7,28.3,28.4,28.3,4,,,,,16:22:00,17:01:00,16:07:00,5/17/2004,138,330,43,53.5,141,84,35,19.9,11.8,12.3,30.9,71,40.1,15,54,,,,,,,,,,25.94,2,4,2,
