Obs,Year,Name,NestName,ID,BandNumber,BandDate,BandDateJul,MeasurementDate,MeasurementDateJulYear,MeasurementDateJul,AgeField,CalcAge,CalcAgeInteger,HatchDate,HatchDateJul1,HatchDateJul,AllSex,BillNT,TEC,BillWidth,BillDepth,Head,UpperBill,UBillSurface,TotBillSurface,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition,,,
1277,2006,BP,HAPA06,BP HAPA06,775-27387,05/08/2006,128,05/08/2006,2006128,128,24,25.0,25,04/14/2006,104,2006104,M,20.8,33.8,13.4,13.6,74.6,13,176.8,228.15,40.8,56.6,146,89,39,442,0.13 ,,,
1278,2006,CO,HAPA06,CO HAPA06,775-27388,05/08/2006,128,05/08/2006,2006128,128,24,25.3,25,04/14/2006,104,2006104,F,21.2,34.4,11.8,13.1,73.7,13.2,172.92,214.14,39.3,59,151,94,47,387,0.12 ,,,
1279,2006,GK,HAPA06,GK HAPA06,775-27389,05/08/2006,128,05/08/2006,2006128,128,24,25.4,25,04/14/2006,104,2006104,M,21.8,36,13.4,13.6,75.1,14.2,193.12,243,39.1,61.5,155,98,48,425,0.12 ,,,
1280,2006,IE,HAW206,IE HAW206,0965-66119,05/31/2006,151,05/31/2006,2006151,151,28,26.5,27,05/03/2006,123,2006123,M,23.4,36.6,13.5,13.6,78.3,13.2,179.52,247.965,41.7,61.1,180,121,63,350,0.12 ,,,
1281,2006,JD,HAW206,JD HAW206,0965-66120,05/31/2006,151,05/31/2006,2006151,151,28,26.3,26,05/03/2006,123,2006123,F,22.4,34.5,12.8,12.9,74.4,12.1,156.09,221.6625,39.9,56.2,169,113,65,317,0.12 ,,,
1282,2006,KC,HAW206,KC HAW206,0965-66121,05/31/2006,151,05/31/2006,2006151,151,28,26.7,27,05/03/2006,123,2006123,M,23.1,35.3,13.3,13.4,78.9,12.2,163.48,235.6275,43.6,62,185,124,66,390,0.12 ,,,
1283,2006,LB,HAW206,LB HAW206,0965-66122,05/31/2006,151,05/31/2006,2006151,151,28,27.6,28,05/03/2006,123,2006123,F,23.6,35.6,14.5,13.7,77.7,12,164.4,250.98,42.1,60.9,195,134,80,389,0.12 ,,,
1284,2006,SU,JUDD06,SU JUDD06,0965-66127,06/12/2006,163,06/12/2006,2006163,163,24,24.3,24,05/19/2006,139,2006139,F,18.4,28.6,11.6,11.4,67.9,10.2,116.28,164.45,39.3,50.8,124,69,25,270,0.13 ,,,
1285,2006,doa,JUDD06,doa JUDD06,,06/12/2006,163,06/12/2006,2006163,163,25,26.2,26,05/18/2006,138,2006138,F,21.4,35.4,13.8,13,73.6,14,182,237.18,38.2,54.6,164,118,54,315,0.12 ,,,
1286,2006,doa3,KAYS06,doa3 KAYS06,,05/26/2006,146,05/26/2006,2006146,146,25,25.2,25,05/01/2006,121,2006121,,19.4,36.9,,,,17.5,0,0,,56.9,158,95,44,,0.00 ,,,
1287,2006,doa1,KAYS06,doa1 KAYS06,,05/26/2006,146,05/26/2006,2006146,146,26,26.3,26,04/30/2006,120,2006120,,,,,,,0,0,0,,60.9,172,114,62,,0.00 ,,,
1288,2006,doa2,KAYS06,doa2 KAYS06,,05/26/2006,146,05/26/2006,2006146,146,26,25.8,26,04/30/2006,120,2006120,,,,,,,0,0,0,,63.5,164,107,52,,0.00 ,,,
1289,2006,HJ,LOCO06,HJ LOCO06,775-27390,05/10/2006,130,05/10/2006,2006130,130,25,25.2,25,04/15/2006,105,2006105,F,20.2,31.7,12.9,11.8,71.5,11.5,135.7,195.7475,39.8,56.2,144,92,47,327,0.12 ,,,
1290,2006,II,LOCO06,II LOCO06,775-27391,05/10/2006,130,05/10/2006,2006130,130,27,26.8,27,04/13/2006,103,2006103,F,23,37.5,12.2,12.2,77.6,14.5,176.9,228.75,40.1,60.7,177,119,71,432,0.12 ,,,
1291,2006,JH,LOCO06,JH LOCO06,775-27392,05/10/2006,130,05/10/2006,2006130,130,27,26.7,27,04/13/2006,103,2006103,M,23,38,13.5,13.3,79.5,15,199.5,254.6,41.5,63,178,121,68,425,0.12 ,,,
1292,2006,KG,LOCO06,KG LOCO06,775-27393,05/10/2006,130,05/10/2006,2006130,130,27,27.1,27,04/13/2006,103,2006103,F,23,35.8,12.6,12.5,77.4,12.8,160,224.645,41.6,58.4,179,125,75,380,0.12 ,,,
1293,2006,LF,LOCO06,LF LOCO06,775-27394,05/10/2006,130,05/10/2006,2006130,130,27,26.6,27,04/13/2006,103,2006103,F,22.1,33.8,13,13.1,75.7,11.7,153.27,220.545,41.9,59.6,169,115,71,316,0.11 ,,,
1294,2006,ME,LOCO06,ME LOCO06,775-27395,05/10/2006,130,05/10/2006,2006130,130,27,26.1,26,04/13/2006,103,2006103,F,22.5,34.8,12.2,11.8,73.7,12.3,145.14,208.8,38.9,56.9,162,108,63,335,0.12 ,,,
1295,2006,XQ,LRI206,XQ LRI206,0965-66108,05/25/2006,145,05/25/2006,2006145,145,28,27.4,27,04/27/2006,117,2006117,M,22.7,35.8,12.1,13,79.3,13.1,170.3,224.645,43.5,61,195,134,73,402,0.12 ,,,
1296,2006,GJ,MAWA06,GJ MAWA06,1045-01411,05/15/2006,135,05/15/2006,2006135,135,26,24.6,25,04/19/2006,109,2006109,M,21,29.3,13.1,12.8,72.1,8.3,106.24,189.7175,42.8,59.1,138,80,32,385,0.12 ,,,
1297,2006,DM,MAWA06,DM MAWA06,1045-01408,05/15/2006,135,05/15/2006,2006135,135,27,26.6,27,04/18/2006,108,2006108,M,24.5,37.5,14.6,13.6,81.1,13,176.8,264.375,43.6,64.5,184,121,66,403,0.11 ,,,
1298,2006,EL,MAWA06,EL MAWA06,1045-01409,05/15/2006,135,05/15/2006,2006135,135,27,26.9,27,04/18/2006,108,2006108,M,23.5,36.5,13.8,13.6,78.2,13,176.8,250.025,41.7,63.8,182,123,70,407,0.12 ,,,
1299,2006,FK,MAWA06,FK MAWA06,1045-01410,05/15/2006,135,05/15/2006,2006135,135,27,26.8,27,04/18/2006,108,2006108,F,24.2,35.7,12.6,12.1,79,11.5,139.15,220.4475,43.3,62.7,177,120,72,387,0.12 ,,,
1300,2006,IH,MMUR06,IH MMUR06,1045-01413,05/16/2006,136,05/16/2006,2006136,136,27,25.4,25,04/19/2006,109,2006109,F,21.7,33.2,12.8,12,74.5,11.5,138,205.84,41.3,57.2,159,101,46,310,0.12 ,,,
1301,2006,HI,MMUR06,HI MMUR06,1045-01412,05/16/2006,136,05/16/2006,2006136,136,28,27.4,27,04/18/2006,108,2006108,F,23.7,36.6,13,13.5,78.6,12.9,174.15,242.475,42,61.5,184,129,79,400,0.12 ,,,
1302,2006,XU,MNDY06,XU MNDY06,775-27383,05/07/2006,127,05/07/2006,2006127,127,23,23.0,23,04/14/2006,104,2006104,F,20.8,34.1,12.2,12.2,71.9,13.3,162.26,208.01,37.8,58.2,135,80,46,375,0.12 ,,,
1303,2006,UX,MNDY06,UX MNDY06,775-27384,05/07/2006,127,05/07/2006,2006127,127,24,25.5,25,04/13/2006,103,2006103,F,21.7,33.8,13.9,12.5,72.9,12.1,151.25,223.08,39.1,58.4,155,89.8,58,385,0.12 ,,,
1304,2006,ZS,MNDY06,ZS MNDY06,775-27385,05/07/2006,127,05/07/2006,2006127,127,24,25.6,26,04/13/2006,103,2006103,M,22.6,36.4,13.1,12.6,77,13.8,173.88,233.87,40.6,60.3,158,98,55,412,0.12 ,,,
1305,2006,HF,NBU206,HF NBU206,0965-66118,05/30/2006,150,05/30/2006,2006150,150,27,25.5,25,05/03/2006,123,2006123,F,20.7,31.8,11.6,11.8,71.5,11.1,130.98,186.03,39.7,55.1,156,102,47,293,0.12 ,,,
1306,2006,EI,NBU206,EI NBU206,0965-66115,05/30/2006,150,05/30/2006,2006150,150,28,27.1,27,05/02/2006,122,2006122,M,23.6,35.8,13.3,13.4,80.5,12.2,163.48,238.965,44.7,60,185,128,71,412,0.12 ,,,
1307,2006,FH,NBU206,FH NBU206,0965-66116,05/30/2006,150,05/30/2006,2006150,150,28,26.5,26,05/02/2006,122,2006122,M,24.2,35.8,13,12.8,78.9,11.6,148.48,230.91,43.1,60.4,177,117,65,374,0.12 ,,,
1308,2006,GG,NBU206,GG NBU206,0965-66117,05/30/2006,150,05/30/2006,2006150,150,28,27.3,27,05/02/2006,122,2006122,F,22.8,35.2,12.7,13.6,76.4,12.4,168.64,231.44,41.2,58.8,187,129,77,345,0.12 ,,,
1309,2006,VU,NEEL06,VU NEEL06,1045-01423,05/17/2006,137,05/17/2006,2006137,137,25,25.0,25,04/22/2006,112,2006112,F,20.4,30.4,12.1,12.2,72.4,10,122,184.68,42,57.2,140,83,45,310,0.12 ,,,
1310,2006,WT,NEEL06,WT NEEL06,1045-01424,05/17/2006,137,05/17/2006,2006137,137,26,26.1,26,04/21/2006,111,2006111,M,22.2,35.6,13.7,13.3,74.4,13.4,178.22,240.3,38.8,57.9,167,110,59,415,0.13 ,,,
1311,2006,ZP,NMUR06,ZP NMUR06,1045-01447,05/20/2006,140,05/20/2006,2006140,140,26,24.4,24,04/24/2006,114,2006114,M,19.4,28.4,10.8,11.8,67.6,9,106.2,160.46,39.2,51,125,78,21,245,0.12 ,,,
1312,2006,XR,NMUR06,XR NMUR06,1045-01445,05/20/2006,140,05/20/2006,2006140,140,27,26.2,26,04/23/2006,113,2006113,M,21.7,34.6,13.2,13.1,75.9,12.9,168.99,227.495,41.3,55.6,170,112,60,379,0.13 ,,,
1313,2006,YQ,NMUR06,YQ NMUR06,1045-01446,05/20/2006,140,05/20/2006,2006140,140,27,26.6,27,04/23/2006,113,2006113,M,22.6,35.5,14.1,12.9,76,12.9,166.41,239.625,40.5,57.8,176,118,67,357,0.12 ,,,
1314,2006,NA,ORHA06,NA ORHA06,1045-01458,05/23/2006,143,05/23/2006,2006143,143,28,27.0,27,04/25/2006,115,2006115,F,23.1,34.4,14.1,13.6,78.7,11.3,153.68,238.22,44.3,60.7,185,124,72,425,0.12 ,,,
1315,2006,OZ,ORHA06,OZ ORHA06,1045-01459,05/23/2006,143,05/23/2006,2006143,143,28,27.1,27,04/25/2006,115,2006115,M,24.8,39.4,14.2,14.1,82.2,14.6,205.86,278.755,42.8,61.5,188,128,71,435,0.12 ,,,
1316,2006,JE,ORHA06,JE ORHA06,1045-01456,05/23/2006,143,05/23/2006,2006143,143,29,27.6,28,04/24/2006,114,2006114,M,24.9,37.9,14.6,14.4,82.8,13,187.2,274.775,44.9,63.5,192,133,81,478,0.12 ,,,
1317,2006,MB,ORHA06,MB ORHA06,1045-01457,05/23/2006,143,05/23/2006,2006143,143,29,27.9,28,04/24/2006,114,2006114,M,25.2,39,14,14.9,83.7,13.8,205.62,281.775,44.7,63.6,197,137,84,477,0.12 ,,,
1318,2006,UV,PIHI06,UV PIHI06,1045-01422,05/17/2006,137,05/17/2006,2006137,137,27,26.3,26,04/20/2006,110,2006110,F,20.6,32,13.2,12.7,72.9,11.4,144.78,207.2,40.9,56.5,178,118,60,345,0.12 ,,,
1319,2006,RY,PIHI06,RY PIHI06,1045-01419,05/17/2006,137,05/17/2006,2006137,137,28,26.8,27,04/19/2006,109,2006109,F,21.8,33.9,12.4,11.5,76.9,12.1,139.15,202.5525,43,57.9,177,122,70,352,0.12 ,,,
1320,2006,SX,PIHI06,SX PIHI06,1045-01420,05/17/2006,137,05/17/2006,2006137,137,28,27.1,27,04/19/2006,109,2006109,F,21.2,32.9,12,13.1,74.2,11.7,153.27,206.4475,41.3,56.4,184,134,65,380,0.13 ,,,
1321,2006,TW,PIHI06,TW PIHI06,1045-01421,05/17/2006,137,05/17/2006,2006137,137,28,27.4,27,04/19/2006,109,2006109,F,23,34.3,12.3,12.9,77.6,11.3,145.77,216.09,43.3,58.2,189,132,77,401,0.13 ,,,
1322,2006,UU,ROWA06,UU ROWA06,1045-01442,05/20/2006,140,05/20/2006,2006140,140,27,26.7,27,04/23/2006,113,2006113,F,23,35.9,11.5,13,75.4,12.9,167.7,219.8875,39.5,59.8,174,117,72,379,0.12 ,,,
1323,2006,VT,ROWA06,VT ROWA06,1045-01443,05/20/2006,140,05/20/2006,2006140,140,27,26.6,27,04/23/2006,113,2006113,F,22.5,35.4,13.3,13.8,76.5,12.9,178.02,239.835,41.1,61.8,177,118,68,415,0.12 ,,,
1324,2006,WS,ROWA06,WS ROWA06,1045-01444,05/20/2006,140,05/20/2006,2006140,140,27,26.3,26,04/23/2006,113,2006113,M,23.2,36.7,13.5,13.9,79.2,13.5,187.65,251.395,42.5,64,173,111,66,450,0.12 ,,,
1325,2006,ZQ,SEPG06,ZQ SEPG06,1045-01427,05/18/2006,138,05/18/2006,2006138,138,29,27.8,28,04/19/2006,109,2006109,M,24.2,38.3,12.3,12.4,80.2,14.1,174.84,236.5025,41.9,60.8,194,134,84,405,0.12 ,,,
1326,2006,CM,SEPG06,CM SEPG06,1045-01430,05/18/2006,138,05/18/2006,2006138,138,29,27.9,28,04/19/2006,109,2006109,F,23.7,36.1,12.3,11.8,78.7,12.4,146.32,217.5025,42.6,60.2,195,138,83,365,0.12 ,,,
1327,2006,BN,SEPG06,BN SEPG06,1045-01429,05/18/2006,138,05/18/2006,2006138,138,30,28.5,29,04/18/2006,108,2006108,M,25.8,40.1,13.5,13.4,84.4,14.3,191.62,269.6725,44.3,61.8,202,140,94,400,0.12 ,,,
1328,2006,DL,SEPG06,DL SEPG06,1045-01431,05/18/2006,138,05/18/2006,2006138,138,30,28.6,29,04/18/2006,108,2006108,M,26.3,39.5,11.8,12.4,82.9,13.2,163.68,238.975,43.4,63.6,207,149,89,410,0.12 ,,,
1329,2006,DJ,SLIM06,DJ SLIM06,0965-66114,05/26/2006,146,05/26/2006,2006146,146,26,25.8,26,04/30/2006,120,2006120,F,21.7,32.6,13.8,12,74,10.9,130.8,210.27,41.4,58.4,158,101,58,420,0.13 ,,,
1330,2006,CJ,SLO206,CJ SLO206,0965-66128,06/17/2006,168,06/17/2006,2006168,168,27,26.3,26,05/21/2006,141,2006141,F,21.3,32.4,10.7,12.4,72.6,11.1,137.64,187.11,40.2,57.6,173,114,63,342,0.12 ,,,
1331,2006,BL,SPRU06,BL SPRU06,0965-66112,05/25/2006,145,05/25/2006,2006145,145,30,27.9,28,04/25/2006,115,2006115,F,22.3,33.9,12.4,12.6,75.4,11.6,146.16,211.875,41.5,54.3,193,135,85,362,0.13 ,,,
1332,2006,CK,SPRU06,CK SPRU06,0965-66113,05/25/2006,145,05/25/2006,2006145,145,30,27.5,27,04/25/2006,115,2006115,M,22.9,37.4,11.5,12.7,79.3,14.5,184.15,226.27,41.9,56.4,190,133,77,385,0.13 ,,,
1333,2006,SY,STAD06,SY STAD06,775-27399,05/10/2006,130,05/10/2006,2006130,130,25,24.8,25,04/15/2006,105,2006105,F,19.6,30.2,12.5,12.6,70.5,10.6,133.56,189.505,40.3,55.4,139,80,40,355,0.13 ,,,
1334,2006,ND,STAD06,ND STAD06,775-27396,05/10/2006,130,05/10/2006,2006130,130,26,26.5,27,04/14/2006,104,2006104,M,23.9,37.7,13.7,13.6,77.2,13.8,187.68,257.3025,39.5,63,174,116,67,435,0.12 ,,,
1335,2006,OC,STAD06,OC STAD06,775-27397,05/10/2006,130,05/10/2006,2006130,130,26,26.0,26,04/14/2006,104,2006104,M,23.2,35.2,13.4,13.3,76.1,12,159.6,234.96,40.9,59.7,167,110,58,412,0.12 ,,,
1336,2006,PB,STAD06,PB STAD06,775-27398,05/10/2006,130,05/10/2006,2006130,130,26,26.1,26,04/14/2006,104,2006104,M,21.1,32.8,12.4,12.6,72.7,11.7,147.42,205,39.9,59,169,111,59,390,0.12 ,,,
1337,2006,CL,TURF06,CL TURF06,1045-01450,05/22/2006,142,05/22/2006,2006142,142,30,28.1,28,04/22/2006,112,2006112,F,23.7,35.8,12.9,13.2,79.7,12.1,159.72,233.595,43.9,59.4,198,134,90,387,0.12 ,,,
1338,2006,EJ,TURF06,EJ TURF06,1045-01451,05/22/2006,142,05/22/2006,2006142,142,30,27.4,27,04/22/2006,112,2006112,M,24.2,37.5,13.2,13.3,81.9,13.3,176.89,248.4375,44.4,63.6,194,129,78,435,0.12 ,,,
1339,2006,FI,TURF06,FI TURF06,1045-01452,05/22/2006,142,05/22/2006,2006142,142,30,28.3,28,04/22/2006,112,2006112,M,24.9,37.6,14.1,13.8,82.4,12.7,175.26,262.26,44.8,64.1,203,139,90,437,0.12 ,,,
1340,2006,TV,WILG06,TV WILG06,1045-01441,05/19/2006,139,05/19/2006,2006139,139,25,24.7,25,04/24/2006,114,2006114,F,19.9,31.1,12.2,12.1,71.8,11.2,135.52,188.9325,40.7,58.9,142,80,35,360,0.12 ,,,
1341,2006,PZ,WILG06,PZ WILG06,1045-01437,05/19/2006,139,05/19/2006,2006139,139,26,26.4,26,04/23/2006,113,2006113,F,22.8,35.2,12.7,13.1,76.4,12.4,162.44,227.04,41.2,57.7,172,111,68,393,0.13 ,,,
1342,2006,RX,WILG06,RX WILG06,1045-01438,05/19/2006,139,05/19/2006,2006139,139,26,25.7,26,04/23/2006,113,2006113,F,21.8,35.6,12,12.9,74.6,13.8,178.02,221.61,39,60,161,103,55,402,0.12 ,,,
1343,2006,QY,WILG06,QY WILG06,1045-01439,05/19/2006,139,05/19/2006,2006139,139,26,26.0,26,04/23/2006,113,2006113,M,22.5,35.6,13.8,13.4,77.8,13.1,175.54,242.08,42.2,64.9,173,108,58,437,0.12 ,,,
1344,2006,SW,WILG06,SW WILG06,1045-01440,05/19/2006,139,05/19/2006,2006139,139,26,26.1,26,04/23/2006,113,2006113,F,24.1,36.1,12.5,13.4,78.6,12,160.8,233.7475,42.5,61.4,173,112,58,410,0.12 ,,,
1345,2006,WR,WKAY06,WR WKAY06,0965-66107,05/25/2006,145,05/25/2006,2006145,145,25,25.6,26,04/30/2006,120,2006120,F,20.6,32.2,12.2,12.7,72.5,11.6,147.32,200.445,40.3,52.8,156,104,50,308,0.13 ,,,
1346,2006,UT,WKAY06,UT WKAY06,0965-66105,05/25/2006,145,05/25/2006,2006145,145,26,26.4,26,04/29/2006,119,2006119,M,21.3,34.7,13.3,12.3,75.9,13.4,164.82,222.08,41.2,54.5,173,119,60,345,0.13 ,,,
1347,2006,VS,WKAY06,VS WKAY06,0965-66106,05/25/2006,145,05/25/2006,2006145,145,26,25.9,26,04/29/2006,119,2006119,M,22.3,34.5,13.2,12.5,76.9,12.2,152.5,221.6625,42.4,54.1,161,108,55,340,0.13 ,,,
1348,2006,IF,WWCK06,IF WWCK06,1045-01455,05/23/2006,143,05/23/2006,2006143,143,28,26.7,27,04/25/2006,115,2006115,M,22.8,36.7,13.9,13.9,80.3,13.9,193.21,255.065,43.6,62.8,181,120,68,475,0.12 ,,,
1349,2006,GH,WWCK06,GH WWCK06,1045-01453,05/23/2006,143,05/23/2006,2006143,143,29,27.5,27,04/24/2006,114,2006114,M,22.4,36.1,13.5,13.4,80.2,13.7,183.58,242.7725,44.1,63.4,193,130,80,485,0.12 ,,,
1350,2006,HG,WWCK06,HG WWCK06,1045-01454,05/23/2006,143,05/23/2006,2006143,143,29,27.6,28,04/24/2006,114,2006114,F,22.3,35,13.2,13.5,78.4,12.7,171.45,233.625,43.4,60.8,191,133,81,424,0.12 ,,,
1351,2007,AJ,LOCO07,AJ LOCO07,0965-66135,05/06/2007,126,05/06/2007,2007126,126,24,25.4,25,04/12/2007,102,2007102,M,22.8,35.2,12.5,12.8,76.3,12.4,158.72,222.64,41.1,60.4,155,98,49,425,0.12 ,,,
1352,2007,BI,LOCO07,BI LOCO07,0965-66136,05/06/2007,126,05/06/2007,2007126,126,24,25.2,25,04/12/2007,102,2007102,F,21.7,33.6,13,12.7,75.1,11.9,151.13,215.88,41.5,59.2,148,91,48,385,0.12 ,,,
1353,2007,CH,LOCO07,CH LOCO07,0965-66137,05/06/2007,126,05/06/2007,2007126,126,24,25.2,25,04/12/2007,102,2007102,M,21.6,33.8,13.1,12.8,74.7,12.2,156.16,218.855,40.9,59.1,152,91,46,395,0.12 ,,,
1354,2007,DG,LOCO07,DG LOCO07,0965-66138,05/06/2007,126,05/06/2007,2007126,126,23,23.0,23,04/13/2007,103,2007103,M,19.6,31.7,13,12.6,72,12.1,152.46,202.88,40.3,56.7,134,75,35,390,0.13 ,,,
1355,2007,EF,LOCO07,EF LOCO07,0965-66139,05/06/2007,126,05/06/2007,2007126,126,23,23.0,23,04/13/2007,103,2007103,M,19.2,31.7,12.9,11.8,71.3,12.5,147.5,195.7475,39.6,58,132,77,37,355,0.12 ,,,
1356,2007,FE,STAD07,FE STAD07,0965-66140,05/12/2007,132,05/12/2007,2007132,132,26,26.4,26,04/16/2007,106,2007106,F,21.9,34.9,12.7,12.4,74.8,13,161.2,218.9975,39.9,57.6,172,118,62,364,0.12 ,,,
1357,2007,GD,STAD07,GD STAD07,0965-66141,05/12/2007,132,05/12/2007,2007132,132,25,26.3,26,04/17/2007,107,2007107,F,22.1,33.4,11.8,12.4,72.7,11.3,140.12,202.07,39.3,59.2,171,113,65,375,0.12 ,,,
1358,2007,HC,STAD07,HC STAD07,0965-66142,05/12/2007,132,05/12/2007,2007132,132,26,26.4,26,04/16/2007,106,2007106,F,22.1,33.4,12.4,12.3,74,11.3,138.99,206.245,40.6,57.7,172,115,66,355,0.12 ,,,
1359,2007,IB,STAD07,IB STAD07,0965-66143,05/12/2007,132,05/12/2007,2007132,132,26,26.5,27,04/16/2007,106,2007106,M,23.5,36.3,13.2,12.7,76.4,12.8,162.56,235.0425,40.1,61.1,176,119,64,400,0.12 ,,,
1360,2007,JA,SPRU07,JA SPRU07,0965-66144,05/12/2007,132,05/12/2007,2007132,132,26,25.4,25,04/16/2007,106,2007106,M,22.9,35.5,13,13.3,76.9,12.6,167.58,233.4125,41.4,59.1,157,95,51,403,0.12 ,,,
1361,2007,KZ,SPRU07,KZ SPRU07,0965-66145,05/12/2007,132,05/12/2007,2007132,132,27,26.4,26,04/15/2007,105,2007105,F,23.2,34.5,11.7,12.7,76.1,11.3,143.51,210.45,41.6,57.4,174,112,67,393,0.13 ,,,
1362,2007,LY,SPRU07,LY SPRU07,0965-66146,05/12/2007,132,05/12/2007,2007132,132,26,26.1,26,04/16/2007,106,2007106,F,22.5,35,11.4,11.6,76.3,12.5,145,201.25,41.3,57.6,167,108,61,365,0.12 ,,,
1363,2007,MX,SPRU07,MX SPRU07,0965-66147,05/12/2007,132,05/12/2007,2007132,132,27,26.9,27,04/15/2007,105,2007105,M,25.1,38.2,13.1,13.9,82.5,13.1,182.09,257.85,44.3,61.1,183,120,75,472,0.13 ,,,
1364,2007,OV,SPRU07,OV SPRU07,0965-66148,05/12/2007,132,05/12/2007,2007132,132,27,26.4,26,04/15/2007,105,2007105,F,23.2,35.4,13,12.8,76.9,12.2,156.16,228.33,41.5,60.5,171,112,68,390,0.12 ,,,
1365,2007,PU,NBUR07,PU NBUR07,0965-66149,05/12/2007,132,05/12/2007,2007132,132,26,26.2,26,04/16/2007,106,2007106,M,21.9,34.6,12.1,12.2,78,12.7,154.94,210.195,43.4,59.2,165,110,62,420,0.13 ,,,
1366,2007,SR,NBUR07,SR NBUR07,0965-66150,05/12/2007,132,05/12/2007,2007132,132,26,25.6,26,04/16/2007,106,2007106,F,21.6,31.8,11.7,12,72.6,10.2,122.4,188.415,40.8,58.3,160,102,53,360,0.12 ,,,
1367,2007,TQ,NBUR07,TQ NBUR07,0965-66151,05/12/2007,132,05/12/2007,2007132,132,26,25.7,26,04/16/2007,106,2007106,M,22.9,34.7,12.9,12.8,78.4,11.8,151.04,222.9475,43.7,60.4,167,107,50,402,0.12 ,,,
1368,2007,UP,NBUR07,UP NBUR07,0965-66152,05/12/2007,132,05/12/2007,2007132,132,25,25.4,25,04/17/2007,107,2007107,M,20.1,31.1,12.3,12.2,73,11,134.2,190.4875,41.9,59,159,97,48,391,0.12 ,,,
1369,2007,VO,NBUR07,VO NBUR07,0965-66153,05/12/2007,132,05/12/2007,2007132,132,26,26.2,26,04/16/2007,106,2007106,F,20.6,32.5,11.3,11.7,74.5,11.9,139.23,186.875,42,58.1,172,113,60,357,0.12 ,,,
1370,2007,WN,NBUR07,WN NBUR07,0965-66154,05/12/2007,132,05/12/2007,2007132,132,25,25.4,25,04/17/2007,107,2007107,M,22.4,29.8,11.7,11.4,77.1,7.4,84.36,172.095,47.3,59.8,158,99,45,358,0.12 ,,,
1371,2007,XM,MICE07,XM MICE07,0965-66155,05/13/2007,133,05/13/2007,2007133,133,23,23.0,23,04/20/2007,110,2007110,M,21.9,34.2,13.4,12,74.4,12.3,147.6,217.17,40.2,58.1,145,86,42,393,0.13 ,,,
1372,2007,YL,MICE07,YL MICE07,0965-66156,05/13/2007,133,05/13/2007,2007133,133,23,23.0,23,04/20/2007,110,2007110,F,21.2,32.4,12.8,11.3,70.9,11.2,126.56,195.21,38.5,58.3,134,78,39,334,0.12 ,,,
1373,2007,ZK,MICE07,ZK MICE07,0965-66157,05/13/2007,133,05/13/2007,2007133,133,23,23.0,23,04/20/2007,110,2007110,M,22.5,35.5,13.8,13.2,74.6,13,171.6,239.625,39.1,60.3,138,83,38,382,0.12 ,,,
1374,2007,AI,FOWA07,AI FOWA07,0965-66158,05/13/2007,133,05/13/2007,2007133,133,25,25.0,25,04/18/2007,108,2007108,F,21.3,34.4,12.9,11.9,74.6,13.1,155.89,213.28,40.2,57.5,146,88,42,343,0.12 ,,,
1375,2007,BH,FOWA07,BH FOWA07,0965-66159,05/13/2007,133,05/13/2007,2007133,133,24,24.4,24,04/19/2007,109,2007109,F,19.6,33,11.6,9.6,66.9,13.4,128.64,174.9,33.9,57.6,125,69,30,325,0.12 ,,,
1376,2007,CG,FOWA07,CG FOWA07,0965-66160,05/13/2007,133,05/13/2007,2007133,133,25,25.8,26,04/18/2007,108,2007108,M,22.7,36.3,12.4,12.9,79.7,13.6,175.44,229.5975,43.4,61.4,155,105,54,440,0.12 ,,,
1377,2007,DF,FOWA07,DF FOWA07,0965-66161,05/13/2007,133,05/13/2007,2007133,133,25,25.5,25,04/18/2007,108,2007108,M,22.8,37.5,13.7,12.2,75.4,14.7,179.34,242.8125,37.9,58.1,159,97,51,425,0.13 ,,,
1378,2007,EE,FOWA07,EE FOWA07,0965-66162,05/13/2007,133,05/13/2007,2007133,133,25,25.9,26,04/18/2007,108,2007108,F,21.8,35.1,11.5,11.9,74.5,13.3,158.27,205.335,39.4,58.1,163,100,62,363,0.12 ,,,
1379,2007,JZ,HAPA07,JZ HAPA07,0965-66163,05/13/2007,133,05/13/2007,2007133,133,24,25.1,25,04/19/2007,109,2007109,F,20.5,32.8,11.8,12.6,72.2,12.3,154.98,200.08,39.4,57.7,148,93,43,390,0.13 ,,,
1380,2007,IA,HAPA07,IA HAPA07,0965-66164,05/13/2007,133,05/13/2007,2007133,133,23,23.0,23,04/20/2007,110,2007110,M,21,32.1,12.8,12.1,75,11.1,134.31,199.8225,42.9,56.6,134,79,31,410,0.13 ,,,
1381,2007,FD,HAPA07,FD HAPA07,0965-66165,05/13/2007,133,05/13/2007,2007133,133,24,25.6,26,04/19/2007,109,2007109,F,19.7,33.6,9.9,12.1,74.5,13.9,168.19,184.8,40.9,58.8,155,98,55,395,0.12 ,,,
1382,2007,GC,HAPA07,GC HAPA07,0965-66166,05/13/2007,133,05/13/2007,2007133,133,23,23.0,23,04/20/2007,110,2007110,M,20.2,33.9,11.4,11.9,73.4,13.7,163.03,197.4675,39.5,54.7,120,69,28,395,0.13 ,,,
1383,2007,KY,NROC07,KY NROC07,0965-66167,05/14/2007,134,05/14/2007,2007134,134,24,25.0,25,04/20/2007,110,2007110,M,20.8,32.6,12.9,13.6,74.2,11.8,160.48,215.975,41.6,59,151,87,42,428,0.13 ,,,
