"HatchDateJulYear","ID","FieldAge","CalcAge","AllSex","BNT","BW","BD","TEC","UB","UBS","TBS","Skull","Tarsus","Weight"
1991113,"doa FOOT91",28,28,"",23.1,14.8,13.7,35.1,12,164.4,250.0875,41.6,51.3,335
1991114,"IO NWOD91",27,26.7,"",23.2,13.7,13.5,34.8,11.6,156.6,236.64,43.3,61.4,390
1991114,"JN NWOD91",27,26.3,"",22.3,15.3,14.1,33.8,11.5,162.15,248.43,42.8,61.2,392
1991114,"KM NWOD91",27,27.7,"",23.5,13.9,13.9,36.7,13.2,183.48,255.065,43.7,60.8,445
1991114,"LL NWOD91",27,27.5,"",23.4,15.6,14.5,36.6,13.2,191.4,275.415,44.5,63.5,435
1991115,"MK PINW91",27,27,"",22.9,15,13,35.8,12.9,167.7,250.6,42.6,61.6,390
1991115,"NJ PINW91",27,27,"",20.9,14.6,12.2,32.9,12,146.4,220.43,38.8,55.9,335
1991115,"OI PINW91",27,27,"",22.6,15.2,13.6,33.9,11.3,153.68,244.08,42.3,59.4,365
1991115,"PH PINW91",27,27,"M",24.3,15.2,15.2,37.8,13.5,205.2,287.28,41.4,60.5,415
1991115,"QG CUPL91",27,26,"",20.8,14.5,13,31.7,10.9,141.7,217.9375,40.8,59.7,345
1991115,"RF CUPL91",27,26.3,"",22.2,13.3,12.8,33.5,11.3,144.64,218.5875,42.7,61.6,360
1991115,"SE CUPL91",27,25.3,"",21.3,14.5,12.4,30.4,9.1,112.84,204.44,43.5,58,335
1991115,"YY BURL91",28,28,"M",25.8,14.6,14.9,38.1,12.3,183.27,280.9875,42.7,58.5,355
1991115,"ZX BURL91",28,28,"",22.8,14.6,14.4,35.3,12.5,180,255.925,41.6,59.7,385
1991115,"doa BURL91",28,28,"",24.9,15.2,14.7,40,15.1,221.97,299,42.7,63.5,415
1991116,"CT LUCE91",27,27.8,"",22.3,14.8,14.2,33.6,11.3,160.46,243.6,42.8,59,320
1991117,"TD HAYT91",26,26.3,"",23.7,14.9,13.5,36.5,12.8,172.8,259.15,42,61.4,340
1991117,"UC HAYT91",26,25.8,"",23.3,14.9,14.3,35.5,12.2,174.46,259.15,42.5,58.3,320
1991117,"VB HAYT91",26,27.5,"",24.3,14.7,13.8,35.5,11.2,154.56,252.9375,43.1,60.1,350
1991117,"WA HAYT91",26,27.6,"",26.5,14.8,15.2,38.8,12.3,186.96,291,44.5,60.8,400
